month,business_unit,aum,inflows,outflows,revenue,opex,clients,retained_clients,advisors,target_nna
2026-01,West,520000000,18500000,11000000,5200000,3100000,4200,4080,38,6000000
2026-01,North,430000000,15000000,10500000,4300000,2750000,3500,3395,31,5000000
2026-01,South,380000000,12500000,9000000,3800000,2500000,3100,3007,27,3500000
2026-02,West,528000000,19000000,11500000,5280000,3150000,4250,4123,39,6000000
2026-02,North,434000000,15200000,11000000,4340000,2800000,3530,3419,31,5000000
2026-02,South,386000000,13000000,9500000,3860000,2520000,3130,3040,28,3500000
2026-03,West,540000000,21000000,12000000,5400000,3200000,4310,4179,39,7000000
2026-03,North,441000000,16500000,11200000,4410000,2820000,3570,3459,32,5000000
2026-03,South,393000000,13500000,9800000,3930000,2550000,3160,3065,28,4000000
2026-04,West,551000000,20500000,14500000,5510000,3400000,4360,4229,40,7000000
2026-04,North,448000000,16000000,13000000,4480000,2950000,3610,3499,32,5000000
2026-04,South,398000000,14000000,10200000,3980000,2600000,3190,3095,29,4000000
